"","area_type","size","total_sqft","bath","balcony","price"
"110","1",2,1260,2,2,66.78
"111","1",3,1800,3,3,120
"112","1",3,1413,2,2,75
"113","1",2,1116,2,1,51.91
"114","1",3,1530,2,1,45.9
"115","3",4,3700,4,1,225
"116","3",3,2497,3,2,140
"117","1",3,1540,2,3,64
"118","1",3,1436,3,1,74.75
"119","1",2,1100,2,2,75
"120","2",2,276,3,3,23
"121","1",3,1427,3,2,120
"122","1",3,2061,3,1,200
"123","1",4,1554.94202937352,4,0,477
"124","3",4,2650,4,2,150
"125","1",3,1282,2,2,68.52
"126","3",2,1050,2,1,34
"127","3",3,1600,3,2,65
"128","1",2,945,2,1,54
"129","1",2,1500,2,1,78
"130","2",7,950,7,0,115
"131","3",3,1870,3,3,110
"132","2",3,1600,3,1,75
"133","1",2,880,1,1,16.5
"134","2",4,1200,4,0,210
"135","1",3,1535,3,2,83
"136","3",2,950,2,1,57
"137","1",2,1360,2,1,65
"138","1",2,1554.94202937352,2,0,54.005
"139","1",3,1280,3,1,50.4
"140","1",3,1260,2,2,85.05
"141","3",8,5000,8,1.58437573755015,250
"142","1",5,3050,5,1,213
"143","1",3,1563.05,3,1,105
"144","1",2,1000,2,1,60
"145","1",2,1167,2,1,43.76
"146","1",7,4000,7,2,225
"147","1",3,1828,3,1.58437573755015,110
"148","1",2,890,2,1,35
"149","1",3,1612,3,3,46.74
"150","2",6,1034,5,1.58437573755015,185
"151","1",3,1710,4,2,91.31
"152","1",2,957,2,1,58
"153","1",3,1250,2,3,44
"154","1",3,2795,4,1.58437573755015,235
"155","1",2,1125,2,2,50
"156","1",2,1020,2,1,30.6
"157","1",2,1200,2,2,50
"158","1",3,1735,3,3,135
"159","1",3,2050,3,1,145
"160","2",4,3750,4,0,760
"161","3",3,1350,2,3,48
"162","1",2,1063,2,1,32
"163","1",3,1904,3,1,150
"164","3",4,4200,4,2,420
"165","1",3,2000,3,1,175
"166","1",2,1554.94202937352,2,0,43.49
"167","1",3,1425,2,2,75
"168","1",3,1500,2,1,64.5
"169","3",2,1060,2,1,60
"170","3",3,1470,2,2,70
"171","1",6,1300,6,0,99
"172","1",1,450,1,1,11
"173","1",2,1152,2,1,64.5
"174","1",3,1350,2,1,56
"175","1",3,1550,3,3,65
"176","2",3,1500,3,2,100
"177","2",5,600,3,2,85
"178","2",1,400,1,0,14
"179","1",1,705,1,2,67
"180","3",2,770,1,1,36
"181","1",2,1242,2,3,51
"182","1",3,1700,3,2,155
"183","1",3,2144,3,2,145
"184","1",3,1704,3,2,110
"185","1",2,1070,2,1,52
"186","2",3,1846,3,2,300
"187","1",2,1340,2,2,55.7
"188","3",2,1025,2,1,46
"189","1",2,1554.94202937352,2,0,56.8
"190","1",2,1200,2,2,52
"191","3",4,2250,4,1,110
"192","1",3,1550,2,3,80
"193","2",4,1200,5,1.58437573755015,325
"194","2",7,1800,7,1,250
"195","1",2,1200,2,2,60
"196","1",2,1327,2,2,98
"197","1",2,1186,2,2,58
"198","3",3,1783,3,1,115
"199","1",3,1400,3,2,56
"200","1",2,980,2,1,48
"201","1",2,1285,2,2,82
"202","1",3,912,2,1,70
"203","3",2,1225,2,2,47.6
"204","1",2,1075,2,1,53
"205","3",3,1260,2,2,54
"206","1",3,1282,2,2,48.7
"207","1",3,1909,3,2,88
"208","1",2,1359,2,1,87
"209","3",2,1207,2,2,43.5
"210","2",4,1736,6,0,190
"211","1",4,2850,4,1,428
"212","1",3,1595,3,2,65
"213","3",3,1798,3,2,89
"214","1",3,1475,3,2,78.29
"215","1",3,1580,3,3,100
"216","1",2,1295,2,1,65
"217","3",6,3600,6,0,141
"218","1",1,589,1,1,27
"219","1",3,1415,3,3,78
"220","1",3,1787,3,2,98.29
"221","1",3,1787,3,2,125
"222","1",3,1475,2,3,90
"223","3",4,2000,4,1,75.5
"224","1",2,984,2,1,44.28
"225","1",3,1554.94202937352,2.69260964746735,1.58437573755015,74.82
"226","1",3,2405,4,2,260
"227","3",2,1080,2,2,72
"228","2",2,1500,2,1,115
"229","1",3,1900,3,2,119
"230","1",2,805,2,1,22.14
"231","1",2,1153,2,2,56.4
"232","1",2,1148,2,2,60
"233","1",2,1110,2,2,55
"234","3",2,1100,2,2,42
"235","1",2,1290,2,2,110
"236","1",3,1500,2,1,65
"237","1",2,1080,2,2,39
"238","1",3,1933,3,1,129
"239","3",5,3500,5,2,150
"240","3",2,1060,2,2,60
"241","1",1,645,1,1,16.45
"242","2",8,2600,8,2,180
"243","1",1,645,1,1,16.45
"244","1",3,1644,3,3,84
"245","1",2,1285,2,3,72.5
"246","2",3,1200,3,1,90
"247","1",2,910,2,1,40
"248","1",3,1577,3,1,70
"249","2",3,4050,3,2,280
"250","1",3,2420,3,2,185
"251","1",2,800,1,1,20
"252","3",2,1060,2,2,55
"253","1",2,1270,2,2,93
"254","1",2,900,2,2,22.5
"255","3",2,1280,2,1,69
"256","2",4,1200,2,0,95
"257","3",2,1025,2,2,36
"258","1",2,1108,2,1,63
"259","2",5,1200,5,1.58437573755015,170
"260","1",3,3045,3,2,170
"261","2",4,2900,3,2,300
"262","1",3,1500,3,2,75.5
"263","1",2,1295,2,2,43.9
"264","1",2,1162,2,1,59.9
"265","1",2,1035,2,2,49.2
"266","3",4,1600,4,0,52.8
"267","1",3,1464,3,2,46
"268","1",3,1866,2,2,61.58
"269","1",2,700,1,1,26
"270","1",3,1804,3,2,120
"271","1",2,913,2,1,32
"272","1",3,1868,3,2,131
"273","3",2,883,2,1,45
"274","2",2,900,2,1,110
"275","1",3,1664,2,3,73.95
"276","1",3,2026,3,2,132
"277","1",2,1210,2,1,80.9
"278","2",4,4111,4,2,250
"279","1",3,1762,3,3,91.45
"280","1",3,1252,3,3,55
"281","3",2,861,2,1,34.5
"282","3",3,1420,2,1,100
"283","2",6,1450,6,0,250
"284","3",3,1490,3,1,78.8
"285","1",3,1075,2,1,46
"286","1",3,1425,2,2,94
"287","3",2,1200,2,1,40
"288","1",3,1280,2,2,56
"289","1",2,1084,2,2,50
"290","1",2,1015,2,2,25.88
"291","1",2,1017,2,1,51.25
"292","1",2,1027,2,2,44
"293","1",2,1069,2,2,45
"294","1",2,1349,2,1,98.2
"295","1",2,1005,2,1,50
"296","1",2,1417,2,3,75
"297","2",3,1475,3,1,98
"298","4",2,950,2,2,47
"299","1",4,2000,4,0,120
"300","2",3,880,3,1,140
"301","1",4,1863,3,2,104
"302","1",2,1010,2,1,29.5
"303","1",3,1425,2,1,70
"304","1",3,1450,3,0,100
"305","1",3,1847,3,2,105
"306","1",2,1100,2,3,45
"307","1",1,525,1,1,26
"308","1",3,1665,3,2,95
"309","1",4,1664,4,3,65
"310","1",3,1850,3,3,150
"311","1",2,1438,2,3,100
"312","1",3,1560,3,3,115
"313","1",2,1350,2,1,55.55
"314","1",3,1550,3,3,67
"315","1",2,1140,2,2,46.5
"316","2",5,1200,5,2,180
"317","1",2,850,2,2,27
"318","1",2,1280,2,2,75
"319","3",2,1170,2,2,52
"320","1",2,1113,2,1,51
"321","1",2,1385,2,1,83.09
"322","1",2,1128,2,1,65
"323","2",2,1200,2,2,128
"324","2",4,1200,4,3,165
"325","1",3,2390,3,2,415
"326","2",4,2400,4,1,400
"327","1",3,1464,3,2,56
"328","1",2,1200,2,2,55
"329","1",2,1200,2,2,52
"330","1",3,1150,2,1,55
"331","3",3,1645,3,2,95
"332","1",2,1000,2,1,67
"333","2",4,2650,4,2,198
"334","1",2,1192,2,2,74
"335","1",3,2135,3,2,215
"336","1",2,1173,2,1,58
"337","3",2,1020,2,2,45
"338","1",4,3122,6,2,230
"339","1",3,1600,3,3,64
"340","2",2,1200,2,0,79
"341","4",2,1230,2,3,48
"342","1",2,1250,2,2,40
"343","1",2,1325,2,2,76
"344","3",3,1850,3,1,150
"345","1",1,525,2.69260964746735,1.58437573755015,21.53
"346","1",2,1200,2,2,65
"347","2",3,1350,2,0,140
"348","1",3,1260,3,1,49.36
"349","1",3,1800,3,0,150
"350","2",3,11,3,2,74
"351","3",2,1100,2,1,43.25
"352","1",2,1508,2,1,77
"353","4",3,1592,3,2,75
"354","1",2,1388,2,3,57
"355","1",1,630,1,1,28.35
"356","2",3,2000,3,2,365
"357","1",3,1762,3,1,125
"358","1",2,950,2,2,50
"359","1",4,3252,5,3,335
"360","1",2,1116,2,1,50
"361","1",2,1308,2,2,89.04
"362","1",3,1200,3,0,90
"363","2",4,1500,4,2,230
"364","3",1,500,1,1,18.5
"365","1",2,1075,2,1,52
"366","1",1,530,1,0,11.66
"367","3",2,1205,2,3,66
"368","1",2,1075,2,2,60
"369","3",2,930,2,2,39
"370","1",2,1380,2,1,60
"371","1",4,2483,5,2,212
"372","3",2,1166,2,2,55
"373","1",2,1050,2,1,65
"374","1",3,2023.71,3,2,275
"375","1",2,1200,2,2,46.8
"376","1",3,1600,2,1,108
"377","1",3,1935,3,2,110
"378","1",1,451,1,0,29.9
"379","1",3,1800,3,2,95
"380","1",3,1400,3,0,77
"381","1",3,1801,3,2,115
"382","3",2,1451,2,1.58437573755015,90
"383","2",2,1200,1,1,36
"384","1",2,1160,2,2,44
"385","3",2,1000,2,1,25
"386","1",2,950,2,1,40
"387","3",3,1629,3,2,79
"388","3",3,1580,2,0,134
"389","1",3,1826,3,2,121
"390","3",2,1245,2,1,94
"391","1",2,1145,2,2,45.79
"392","1",2,825,2,1,33
"393","1",3,1693,3,3,108
"394","1",2,1113.27,2,2,53
"395","3",2,1460,2,1,58
"396","3",2,1050,2,1,32
"397","3",2,1260,2,2,55
"398","1",6,700,3,1.58437573755015,120
"399","3",2,1656,2,1,120
"400","1",3,1208,3,1,45
"401","1",3,1910,3,2,161
"402","1",4,3252,4,1,230
"403","2",2,1200,2,1,65
"404","1",4,1200,4,1,175
"405","1",2,1175,2,1,82
"406","2",2,1000,2,0,165
"407","2",4,1200,2,0,125
"408","1",3,2390,3,2,410
"409","1",7,12000,6,3,2200
"410","2",2,550,1,1,62
"411","1",1,1554.94202937352,1,0,18.5
"412","1",2,1185,2,1.58437573755015,38
"413","1",2,750,2,1,38
"414","2",6,1200,7,3,250
"415","1",3,1550,3,3,64.5
"416","3",3,1760,3,2,88
"417","1",2,1125,2,2,62
"418","2",3,1350,3,2,150
"419","2",2,1000,2,1,55
"420","3",2,1090,2,2,31.48
"421","2",2,1200,2,0,60
"422","1",3,1991,4,2,103
"423","1",2,1060,2,1,26.5
"424","1",2,1105,2,1,75
"425","3",2,985,2,2,67
"426","2",6,1533,5,3,85
"427","1",3,1590,3,2,79
"428","1",2,1120,2,2,55
"429","1",2,1069,2,1,55
"430","1",3,1933,3,2,140
"431","3",2,1194,2,0,69
"432","1",2,1150,2,3,69
"433","1",2,1240,2,2,47.12
"434","1",2,1419,2,2,48.1
"435","2",8,1200,8,1.58437573755015,250
"436","1",3,2150,4,1.58437573755015,240
"437","1",3,1450,3,2,55
"438","1",3,1630,3,2,68.29
"439","1",2,708,1,1,40
"440","2",3,1000,4,3,110
"441","2",4,11890,4,3,700
"442","1",2,1250,2,1,76
"443","1",3,1400,2,1,95
"444","1",3,1670,2,3,57
"445","1",3,1750,3,2,100
"446","1",2,1404,2,1,71
"447","1",3,1715,2,2,95
"448","3",1,630,1,1,34.65
"449","1",3,1752.12,3,2,135
"450","1",3,1650,3,2,78
"451","1",2,1295,2,1,55.47
"452","2",3,1800,3,2,252
"453","1",2,1346,2,1,74.03
"454","2",4,1200,4,2,200
"455","1",2,1150,2,2,55
"456","3",4,3309,4,3,325
"457","1",3,1190,2,2,30.35
"458","1",3,1620,3,2,98
"459","1",2,950,2,1,46.96
"460","1",11,5000,9,3,360
"461","1",3,2450,3,0,120
"462","1",3,1220,2,1,35.23
"463","1",2,850,2,1,30
"464","3",2,1020,2,2,63
"465","3",2,1100,2,2,50
"466","1",2,1150,2,2,126
"467","1",3,1760,2,2,130
"468","1",3,1800,3,3,110
"469","1",2,1070,2,1,54
"470","2",4,1500,4,2,220
"471","2",2,1440,2,0,95
"472","1",2,900,2,1,40
"473","3",4,1200,4,1,230
"474","1",2,1130,2,1,42.16
"475","1",2,1320,2,1,165
"476","1",2,1270,2,1,98
"477","3",2,1200,2,1,62
"478","1",4,4800,4,1.58437573755015,235
"479","1",2,1200,2,1,74
"480","1",2,929,2,0,50.17
"481","3",4,1150,4,2,260
"482","2",4,1125,4,3,180
"483","2",5,500,3,2,65
"484","2",5,1200,5,2,190
"485","1",3,1464,3,2,56
"486","1",4,3600,4,3,400
"487","2",4,2000,4,2,99
"488","1",2,1208,2,1,49
"489","1",2,1130,2,2,60
"490","1",3,1753,3,2,120
"491","1",5,4500,7,3,337
"492","2",3,600,3,2,58
"493","1",2,1196,2,2,94.42
"494","3",2,1150,3,3,52.5
"495","1",2,1128,2,1,63
"496","1",2,1000,2,1,53
"497","1",2,1035,2,1,45
"498","3",2,950,2,1,32
"499","1",3,1075,2,1,36
"500","1",2,1040,2,1,48.5
"501","2",2,720,2,1,45
"502","1",3,1511,3,1,95
"503","3",3,1300,3,1,58
"504","1",3,1545,3,1,68.75
"505","3",1,375,2,0,26
"506","1",2,1062,2,3,38
"507","1",2,1115,2,1,40
"508","1",2,1000,2,1,35
"509","1",2,883,2,1,45
"510","1",2,1195,2,1,70
"511","2",4,1200,3,1,165
"512","3",1,700,1,0,41
"513","1",2,1246,2,1,67
"514","2",4,660,4,2,90
"515","2",4,8500,4,2,145
"516","1",4,1600,4,1,80
"517","1",4,2805,5,3,154
"518","1",3,1584,3,1.58437573755015,65
"519","2",4,3000,5,1,275
"520","3",3,1175,2,2,48
"521","3",3,1595,3,2,115
"522","1",2,1353,2,2,110
"523","1",3,1599,3,2,125
"524","1",2,1150,2,1,70
"525","1",4,5230,6,1,465
"526","1",2,1155,2,2,42.74
"527","3",1,1200,2,0,85
"528","1",2,1000,2,1,25
"529","1",4,3000,4,1.58437573755015,120
"530","3",3,1867,3,1,160
"531","1",2,1251,2,1,47
"532","1",2,1028,2,1,45.5
"533","1",2,1222,2,2,45
"534","1",3,1170,2,1,66
"535","1",3,2400,4,1,245
"536","1",3,1385,2,2,48.48
"537","1",2,1372,2,1,68
"538","1",3,1282,2,2,49
"539","1",9,5000,9,3,210
"540","3",5,3000,3,1,528
"541","1",2,1135,2,1,39.73
"542","3",3,1768,3,2,101
"543","3",3,1325,2,1,90
"544","1",3,1599,3,2,99
"545","2",3,1500,3,1,61.95
"546","2",3,2610,3,0,499
"547","1",2,1286,2,2,63
"548","3",5,2845,5,1,140
"549","1",3,1600,2,1.58437573755015,50
"550","1",2,1554.94202937352,2,0,63.77
"551","1",3,3450,5,2,260
"552","1",2,1102,2,2,53.67
"553","1",2,1350,2,2,54
"554","1",3,1200,2,2,42
"555","2",6,1300,6,0,145
"556","2",2,1800,1,1,80
"557","3",2,950,2,1,40
"558","1",1,525,1,1,27.25
"559","3",2,656,2,1,25
"560","2",4,1780,4,3,175
"561","1",2,1056,2,1,80
"562","1",1,595,1,1,33.32
"563","3",2,1080,2,2,50
"564","1",3,2225,3,1,160
"565","1",2,1126,2,1,28.15
"566","1",3,1490,3,1,84
"567","2",4,2000,4,1,300
"568","1",3,1550,3,3,100
"569","1",3,1600,3,2,86
"570","3",2,1160,2,1,55
"571","3",4,4144,4,3,315
"572","1",3,2100,3,2,125
"573","1",2,1404,2,1,69.3
"574","2",4,2230,4,3,225
"575","1",3,1544,3,1.58437573755015,120
"576","1",3,1305,2,1,58.7
"577","1",2,1230,2,2,80
"578","2",2,1200,2,0,65
"579","1",3,1460,3,1,73
"580","2",2.8055074862689,1554.94202937352,2.69260964746735,1.58437573755015,34.185
"581","3",2,967,2,3,45
"582","3",1,540,1,1,36
"583","1",1,715,1,2,46
"584","1",3,2500,3,2,313
"585","1",3,1578,3,1,180
"586","1",2,1020,2,1,48.95
"587","1",2,1020,2,1,40
"588","1",2,1253,2,1,102
"589","1",2,1180,2,2,42
"590","1",2,961,2,2,38
"591","3",3,1419,3,3,75
"592","1",3,1709,3,2,150
"593","2",2,1600,2,0,115
"594","1",1,416,1,1,18.5
"595","4",2,1100,2,2,98
"596","1",3,1430,2,1,65
"597","1",2,1260,2,2,45
"598","3",3,1630,3,2,85
"599","1",3,1249,3,2,44.71
"600","1",3,1450,2,3,85
"601","1",3,2791,3,1,223
"602","1",1,600,1,0,90
"603","3",1,834,1,1,60
"604","2",3,1125,4,1,70
"605","1",3,2060,3,2,140
"606","1",7,12000,7,3,2200
"607","3",2,891,2,1,25
"608","1",2,1133,2,1,49.07
"609","3",3,1075,2,1,37
"610","1",4,3000,5,2,260
"611","2",4,2440,5,2,425
"612","3",2,1200,2,2,55
"613","1",2,1075,2,2,45.8
"614","1",2,1140,2,2,40
"615","2",5,940,4,2,150
"616","2",6,2160,5,1,250
"617","1",2,1090,2,1,42
"618","3",4,1500,4,1,70
"619","1",4,4104,4,2,360
"620","1",3,1790,3,1.58437573755015,100
"621","1",3,1920,3,2,134
"622","3",2,1374,2,2,95
"623","4",3,1445,3,2,95
"624","1",1,711,1,1,36
"625","1",3,1500,3,3,95
"626","1",3,1720,3,3,100
"627","1",3,1400,3,2,60
"628","3",2,1030,2,2,49
"629","1",2,1200,2,1,85
"630","4",3,1375,3,2,70
"631","2",2,1050,1,1.58437573755015,56
"632","1",3,2250,3,2,160
"633","1",2,1000,2,2,50
"634","1",1,469,1,0,25
"635","1",4,3800,4,3,250
"636","1",2,883,2,1,29
"637","1",3,1820,2,3,86
"638","3",3,1440,2,3,65
"639","1",6,3600,4,1,160
"640","3",4,2500,5,2,325
"641","1",2,1225,2,2,48
"642","2",3,4000,3,1,660
"643","4",2,875,2,3,52.8
"644","1",1,750,1,2,40
"645","1",2,1180,2,3,80
"646","1",2,1194,2,2,47
"647","1",3,1500,2,2,62
"648","1",2,1160,2,2,52.2
"649","3",9,1554.94202937352,9,1.58437573755015,265
"650","1",3,2378,3,1,262
"651","1",2,1128,2,1,60
"652","1",3,1500,3,1,150
"653","3",3,1220,2,1,35.23
"654","1",2,1210,2,2,58
"655","1",3,1100,2,1,58
"656","1",3,1200,3,2,46
"657","3",4,3385,5,1.58437573755015,260
"658","1",3,1641,3,2,66
"659","1",2,1200,2,1,45
"660","1",2,1260,2,1,67.39
"661","1",3,1720,3,3,78
"662","1",2,1554.94202937352,2,0,48.13
"663","1",2,1210,2,1,45.98
"664","3",4,2200,4,2,200
"665","1",3,1075,2,1,45
"666","3",3,1702,3,2,130
"667","1",2,1630,2,2,200
"668","1",2,1141,2,2,38.55
"669","1",3,2072,3,2,108
"670","1",5,1554.94202937352,2.69260964746735,1.58437573755015,375
"671","3",3,1200,2,0,70
"672","1",3,1350,3,0,77
"673","3",4,1554.94202937352,4,0,445
"674","1",3,1180,2,2,78.34
"675","3",3,35000,3,3,130
"676","1",2,1355,2,2,115
"677","2",1,600,1,0,50
"678","2",7,1200,7,1.58437573755015,150
"679","1",3,1640,2,1,120
"680","2",5,1200,5,0,100
"681","1",3,1190,2,2,57
"682","2",4,2400,4,2,375
"683","1",2,1019,2,2,49.85
"684","1",3,1875,3,2,165
"685","1",3,1250,3,2,40
"686","2",3,1200,3,2,140
"687","1",2,1140,2,1,56
"688","1",3,1683,3,1,109
"689","1",3,1515,3,1.58437573755015,83.3
"690","1",4,2118,4,2,111
"691","3",4,1380,3,0,58
"692","1",2,1083,2,2,61.75
"693","2",2,600,2,1,55
"694","3",3,2300,3,3,120
"695","1",2,1240,2,2,60
"696","1",3,1750,3,1,120
"697","1",2,1230,2,1.58437573755015,43.48
"698","2",3,1500,3,1,139
"699","1",2,985,2,1,40.39
"700","2",3,1500,2,1,87
"701","3",2,1125,2,1,32.49
"702","3",2,950,2,1,44
"703","1",5,1554.94202937352,2.69260964746735,1.58437573755015,548.5
"704","1",3,1580,3,3,76
"705","2",3,1092,2,1,98.5
"706","3",2,1090,2,1,28.34
"707","3",3,2264,3,1,159
"708","1",3,1033,2,2,25.53
"709","1",2,810,2,2,24.5
"710","1",2,1045,2,0,45
"711","1",2,1337,2,1,82
"712","1",2,1200,2,2,32
"713","1",3,1580,3,2,160
"714","1",3,1500,2,3,54
"715","1",3,1640,4,2,91
"716","1",3,1570,3,2,62
"717","1",3,1470,2,2,82
"718","1",2,1160,2,2,40.61
"719","3",2,1050,2,1,71
"720","1",3,1855,3,1,225
"721","1",3,1460,2,1,90
"722","3",3,1823,3,2,100
"723","1",2,1094,2,2,42
"724","1",2,1153,2,2,57
"725","3",3,1325,3,1,57
"726","2",4,1200,3,2,85
"727","3",3,1590,2,2,125
"728","2",5,1210,4,2,160
"729","2",4,1200,4,0,220
"730","1",2,1202,2,1,48
"731","3",2,1202,2,1,53
"732","1",2,1200,2,3,62.5
"733","1",3,1688,3,1,118
"734","3",2,1020,2,1,52
"735","1",2,1185,2,2,47
"736","1",2,1235,2,1,52.04
"737","1",4,3205,5,1,500
"738","1",2,1077,2,2,37.64
"739","1",3,1415,2,3,66
"740","1",3,2330,3,2,162
"741","1",2,805,2,2,35
"742","3",1,425,1,0,20.03
"743","1",2,1155,2,3,59.95
"744","1",4,5270,4,3,1250
"745","1",2,656,2,1,22
"746","3",2,1100,2,0,48
"747","1",2,1150,2,3,52
"748","2",1,600,1,1,60
"749","1",2,1468,2,1,140
"750","2",4,4300,5,2,550
"751","1",3,2280,4,2,126
"752","1",2,1341,2,1,97
"753","1",2,1279,2,1,77
"754","1",4,2225,4,0,98.88
"755","1",2,1185,2,2,43.51
"756","1",3,1750,3,2,85
"757","1",2,1152,2,1,53.5
"758","2",5,1000,4,1,160
"759","1",2,1300,2,3,36
"760","2",4,2760,4,2,155
"761","1",2,1070,2,2,39
"762","1",2,1101,2,0,45
"763","1",2,775,2,1,55
"764","1",1,667,1,1,36.85
"765","1",2,1070,2,1,55
"766","3",3,1875,2,2,110
"767","1",2,735,2,1,57.99
"768","2",5,4360,4,1,90
"769","1",3,1750,3,2,130
"770","1",2,1215,2,1,67
"771","2",9,600,9,3,190
"772","1",2,820,2,1,30
"773","1",2,1554.94202937352,2,0,59.935
"774","1",3,1779,3,2,89.61
"775","3",2,1105,2,2,58
"776","3",1,1554.94202937352,2,1,93
"777","1",3,1650,3,2,60
"778","1",2,1694,2,2,150
"779","1",3,2376,3,1,203
"780","1",3,1975,3,3,150
"781","1",2,674,2,1,33
"782","1",2,1185,2,1,41
"783","1",2.8055074862689,445,1,0,28
"784","3",6,900,7,1.58437573755015,76
"785","1",3,1475,3,2,75
"786","1",3,1618,3,3,82.5
"787","1",2,1120,2,0,65
"788","1",4,2181,3,2,152
"789","2",4,1200,4,0,90
"790","2",6,600,4,3,65
"791","1",3,1556,2,1,59.13
"792","1",2,1179,2,1,66.02
"793","1",2,1296,2,2,83
"794","3",2,1275,2,2,52
"795","3",7,1875,2,2,300
"796","1",3,1400,2,2,77
"797","1",2,1222,2,1,63
"798","1",2,940,2,1,41
"799","1",2,1185,2,2,42.6
"800","1",3,1779,3,2,112
"801","1",3,1615,3,2,59.76
"802","1",4,1554.94202937352,2.69260964746735,1.58437573755015,453
"803","1",2,1056,2,1,61
"804","1",2,1100,2,0,46
"805","3",2,920,2,1,40
"806","1",3,1602,2,0,75
"807","3",2,1176,2,0,62
"808","2",4,675,3,1,59
"809","1",3,1352,3,0,135
"810","3",3,1717,3,3,99
"811","2",4,10961,4,1,80
"812","1",4,2119,4,3,111
"813","1",2,1246,2,1,67.3
"814","1",2,1141,2,1,42.79
"815","3",2,1157,2,1,84
"816","1",2,1025,2,2,27.68
"817","3",1,650,1,2,33
"818","1",2,1349,2,1,98
"819","1",3,1566,3,1,83.3
"820","1",4,2830,3,3,195
"821","3",3,1320,2,1,38.13
"822","1",3,1780,3,1,84.83
"823","1",2,1091,2,1,34.9
"824","1",4,3670,4,3,300
"825","3",2,918,2,1,50.49
"826","1",4,1950,4,0,130
"827","1",3,1695,3,1,90
"828","1",3,1705,3,2,95
"829","3",3,1375,3,2,75
"830","1",1,525,1,1,30
"831","3",2,1447,2,1,83
"832","1",2,1114,2,1,39
"833","1",3,1450,2,1,100
"834","1",2,460,1,0,15
